City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Newport,GB,51.5877,-2.9984,36.0,94,36,3.0,scattered clouds
141,Jiuquan,CN,39.7432,98.5174,16.02,86,6,3.11,clear sky
142,Nara,JP,34.6851,135.8049,44.6,87,75,5.75,broken clouds
143,Kavieng,PG,-2.5744,150.7967,82.98,72,80,6.4,broken clouds
144,Airai,TL,-8.9266,125.4092,61.11,100,96,1.48,very heavy rain
145,Vetluzhskiy,RU,58.3902,45.4654,33.37,97,100,6.85,overcast clouds
146,Genova,IT,44.5,9.0667,43.0,45,0,3.83,clear sky
147,Mutsu,JP,41.2894,141.2169,28.99,72,0,6.44,clear sky
148,Ilulissat,GL,69.2167,-51.1,17.6,38,0,8.05,clear sky
149,Manacapuru,BR,-3.2997,-60.6206,82.4,78,75,4.61,broken clouds
150,Longyearbyen,SJ,78.2186,15.6401,15.8,57,20,5.75,few clouds
151,Sao Filipe,CV,14.8961,-24.4956,72.19,66,0,6.08,clear sky
152,Castro,BR,-24.7911,-50.0119,66.29,92,100,3.04,overcast clouds
153,Lebu,CL,-37.6167,-73.65,59.97,65,0,17.94,clear sky
154,Ajdabiya,LY,30.7554,20.2263,58.86,55,100,5.17,overcast clouds
155,Narrabri,AU,-30.3167,149.7833,68.0,64,9,1.14,clear sky
156,Tabou,CI,4.423,-7.3528,78.51,87,0,7.67,clear sky
157,Samarai,PG,-10.6167,150.6667,78.35,85,81,13.47,heavy intensity rain
158,Mbekenyera,TZ,-10.0,38.9833,70.34,89,96,3.6,overcast clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,78.8,83,20,17.27,few clouds
160,Keti Bandar,PK,24.1447,67.4497,59.99,27,0,10.42,clear sky
161,Mangan,IN,27.5167,88.5333,51.48,43,2,5.32,clear sky
162,Camacupa,AO,-12.0167,17.4833,62.19,95,52,5.48,moderate rain
163,Naze,JP,28.3667,129.4833,62.44,85,92,11.5,overcast clouds
164,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,78,40,17.27,scattered clouds
165,Gueret,FR,46.1667,1.8667,39.2,100,90,10.36,overcast clouds
166,Talnakh,RU,69.4865,88.3972,-30.14,80,97,3.33,overcast clouds
167,Codrington,AU,-38.2667,141.9667,69.8,50,65,5.5,light rain
168,Marawi,PH,7.9986,124.2928,75.0,89,92,5.01,overcast clouds
169,Khorol,UA,49.7837,33.2783,38.03,92,100,16.55,overcast clouds
170,Dikson,RU,73.5069,80.5464,-15.23,89,100,12.59,overcast clouds
171,Shadegan,IR,30.6497,48.6647,50.0,71,0,7.47,clear sky
172,Paamiut,GL,61.994,-49.6678,20.91,79,0,13.96,clear sky
173,Karratha,AU,-20.7377,116.8463,81.48,40,3,15.37,clear sky
174,Port Hardy,CA,50.6996,-127.4199,37.4,100,90,4.61,light rain
175,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,82,40,6.91,scattered clouds
176,Kathmandu,NP,27.7167,85.3167,44.6,87,20,2.3,mist
177,Vilhena,BR,-12.7406,-60.1458,73.4,88,40,5.75,heavy intensity rain
178,Mumford,GH,5.2618,-0.759,79.07,83,94,10.8,overcast clouds
179,Puerto Del Rosario,ES,28.5004,-13.8627,64.4,77,20,5.75,few clouds
180,Jacareacanga,BR,-6.2222,-57.7528,83.44,74,80,1.14,broken clouds
181,Aldan,RU,58.6031,125.3894,-34.98,76,0,3.11,clear sky
182,Takaka,NZ,-40.85,172.8,70.0,44,57,1.01,light rain
183,Belmonte,BR,-15.8631,-38.8828,78.8,94,90,2.3,moderate rain
184,Calinesti-Oas,RO,47.9,23.3,41.0,87,75,6.91,broken clouds
185,Clyde River,CA,70.4692,-68.5914,8.6,100,1,20.71,clear sky
186,Whitianga,NZ,-36.8333,175.7,73.0,69,28,10.0,scattered clouds
187,Tazovskiy,RU,67.4667,78.7,-40.5,80,15,3.78,few clouds
188,Oussouye,SN,12.485,-16.5469,73.4,64,0,4.61,clear sky
189,Korla,CN,41.7597,86.1469,21.09,82,31,3.38,scattered clouds
190,Xifeng,CN,42.7372,124.7222,21.25,95,0,0.96,clear sky
191,Cidreira,BR,-30.1811,-50.2056,78.49,79,0,13.4,clear sky
192,Pangai,TO,-19.8,-174.35,75.2,100,90,11.5,moderate rain
193,Mahebourg,MU,-20.4081,57.7,78.8,83,75,6.91,light rain
194,Yumen,CN,40.2833,97.2,16.38,88,0,6.22,clear sky
195,Georgetown,MY,5.4112,100.3354,80.01,89,40,3.44,scattered clouds
196,Telbang,PH,16.1722,120.0592,77.74,82,9,9.69,clear sky
197,Ullapool,GB,57.8987,-5.1604,36.0,16,99,3.0,overcast clouds
198,Antofagasta,CL,-23.65,-70.4,69.8,68,20,13.8,few clouds
199,Brae,GB,60.3964,-1.353,33.8,93,20,4.61,few clouds
200,Berbera,SO,10.4396,45.0143,73.92,68,39,7.38,scattered clouds
201,Teguldet,RU,57.3064,88.1667,-41.91,80,43,4.52,scattered clouds
202,Jadu,LY,31.953,12.0261,54.41,44,100,14.16,overcast clouds
203,Rio Gallegos,AR,-51.6226,-69.2181,75.2,14,40,23.02,scattered clouds
204,Washougal,US,45.5826,-122.3534,41.0,87,90,6.91,mist
205,Itamaraca,BR,-7.7478,-34.8256,80.6,65,75,11.5,broken clouds
206,Winslow,US,35.0242,-110.6974,46.4,42,75,10.36,broken clouds
207,Manokwari,ID,-0.8667,134.0833,78.67,75,100,5.84,light rain
208,Morehead,US,37.2711,-87.1764,45.0,81,90,4.61,overcast clouds
